price,color,cut,clarity,carat_size
9344,I,Very Good,VVS2,2.166765232384205
1334,F,Good,VVS1,2.698000339046121
2681,K,Very Good,SI2,1.5135640367865562
1403,G,Ideal,SI2,0.7495696850121021
2648,E,Good,VS1,1.2046124022454023
8505,K,Very Good,IF,4.532101232558489
5227,K,Excellent,SI1,2.5539929270744324
2409,E,Ideal,SI1,1.5118772000074385
8418,G,Excellent,SI1,2.9965508598834276
4128,F,Very Good,VVS1,4.740520283579826
9684,F,Excellent,SI1,2.1336052734404802
6643,J,Very Good,IF,3.1378157868981362
9674,H,Ideal,VVS1,0.29242905229330063
1564,E,Excellent,VS1,3.7917259585112335
1165,E,Ideal,VS2,3.0907937347888947
7420,E,Good,VVS1,3.4248226825147867
1424,I,Ideal,IF,2.114124242961407
6692,D,Ideal,SI2,0.36136352941393857
7525,F,Excellent,VVS1,0.7897763211280107
4212,F,Very Good,VVS2,3.767120165377855
5197,E,Very Good,IF,1.8344717990607022
3122,D,Very Good,IF,2.8820343974977733
2846,K,Ideal,SI2,2.095596054941416
5231,E,Ideal,IF,1.4540289733558893
2410,K,Ideal,VS1,4.38984368480742
1232,G,Ideal,SI1,4.58650824315846
4503,F,Ideal,VS1,1.6176064494997262
4166,E,Good,VS2,2.2132622465491294
7576,H,Good,VS2,3.3682181470096113
5797,E,Excellent,VS1,0.32111554928123953
8584,G,Ideal,IF,1.2899276595562696
6574,K,Very Good,VVS2,3.5067411836236717
4072,J,Very Good,VS2,3.9754439018666745
8927,G,Excellent,SI2,4.789311356469989
2763,I,Good,SI1,4.801172649115324
4662,K,Ideal,IF,0.8869403261691331
8934,E,Very Good,IF,4.897359665110708
5533,K,Very Good,VVS1,2.5719427626580003
9140,G,Excellent,SI1,1.1050050981342792
6616,H,Good,IF,2.45463988520205
7298,H,Ideal,VS1,2.904067538678646
7967,J,Good,IF,3.9882660377770662
2000,K,Ideal,VS2,4.19736828096211
2312,F,Very Good,SI1,3.7737529799342155
9597,K,Good,SI1,2.5536494612693788
5794,D,Very Good,IF,3.638515139743686
9295,K,Ideal,VS1,2.2209831785410645
8594,E,Excellent,VS2,0.9208887740969658
7956,E,Good,VS1,3.168951189890504
6058,I,Very Good,VS2,2.051909089460969
5715,K,Excellent,SI2,4.840993097424507
4458,I,Very Good,SI2,0.6987848613411187
7125,I,Very Good,VVS1,3.8142617288976908
8018,E,Very Good,SI2,3.159670153260231
2062,H,Very Good,IF,1.6708234354853628
2913,D,Very Good,SI1,3.4536428954452276
1887,G,Ideal,SI1,2.8735802177339793
9645,E,Ideal,VS2,1.1121550101786852
